"Accept Auto-Assignment","Terima Penugasan Otomatis"
"Agent","Agen"
"Assigned Agent","Agen yang Ditugaskan"
"Assign to Me","Tugaskan ke Saya"
"Chat","Obrolan"
"Chat Status","Status Obrolan"
"Chat With Us","Chat dengan Kami"
"Chats","Daftar Chat"
"Close Chat","Tutup Chat"
"Contact Name","Nama Kontak"
"Internal Note","Catatan Internal"
"Mobile No","No. HP"
"New Chat Room","Ruang Chat Baru"
"Open Chat","Buka Chat"
"Release Chat","Lepas Chat"
"Select Quick Reply","Pilih Balasan Cepat"
"Send Template Message","Kirim Pesan Template"
"Status","Status"
"Type message","Ketik pesan"
"WhatsApp Agent","Agen WhatsApp"
"WhatsApp Agent Queue","Antrean Agen WhatsApp"
"WhatsApp Contact","Kontak WhatsApp"
"WhatsApp Quick Reply","Balasan Cepat WhatsApp"
"Waiting","Menunggu"
"We are offline","Kami sedang offline"
"We are online","Kami sedang online"
"⚡ Powered by Frappe","⚡ Didukung oleh Frappe"
"Search conversation","Cari percakapan"
"Typically replies in a few hours","Biasanya membalas dalam beberapa jam"
"Please enter your full name","Masukkan nama lengkap Anda"
"Please enter your email","Masukkan email Anda"
"Please enter your message","Masukkan pesan Anda"
"Start Conversation","Mulai Percakapan"
"Show Chats","Tampilkan Chat"
